"registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude"
207601199,11,17,62534,27.1852112450827,-10.9162061,-37.0774655
207601199,14,34,23868,142.450142450142,-10.9162061,-37.0774655
207601199,2,0,108817,0,-10.9162061,-37.0774655
207601199,12,24,48327,49.6616798063194,-10.9162061,-37.0774655
207601199,10,8,76638,10.4386857694616,-10.9162061,-37.0774655
207601199,9,4,87850,4.55321570859419,-10.9162061,-37.0774655
207601199,8,3,97576,3.07452652291547,-10.9162061,-37.0774655
207601199,17,13,6492,200.246457178065,-10.9162061,-37.0774655
207601199,16,16,9638,166.009545548869,-10.9162061,-37.0774655
207601199,6,0,135669,0,-10.9162061,-37.0774655
207601199,7,1,117220,0.853096741170449,-10.9162061,-37.0774655
207601199,4,0,119212,0,-10.9162061,-37.0774655
207601199,3,0,116861,0,-10.9162061,-37.0774655
207601199,15,29,16193,179.089730130303,-10.9162061,-37.0774655
207601199,5,0,135754,0,-10.9162061,-37.0774655
207601199,13,33,36309,90.8865570519706,-10.9162061,-37.0774655
207601299,9,10,252036,3.96768715580314,-25.4295963,-49.2712724
207601299,10,18,226682,7.94063930969376,-25.4295963,-49.2712724
207601299,14,107,76369,140.10920661525,-25.4295963,-49.2712724
207601299,7,7,315469,2.21891849912353,-25.4295963,-49.2712724
207601299,15,74,54908,134.770889487871,-25.4295963,-49.2712724
207601299,1,0,225650,0,-25.4295963,-49.2712724
207601299,6,2,337479,0.592629467315003,-25.4295963,-49.2712724
207601299,16,93,36004,258.304632818576,-25.4295963,-49.2712724
207601299,11,46,190820,24.1064877895399,-25.4295963,-49.2712724
207601299,17,45,20994,214.346956273221,-25.4295963,-49.2712724
207601299,2,0,254440,0,-25.4295963,-49.2712724
207601299,18,32,13240,241.691842900302,-25.4295963,-49.2712724
207601299,5,0,321429,0,-25.4295963,-49.2712724
207601299,8,4,272357,1.46866061823269,-25.4295963,-49.2712724
207601299,12,77,153483,50.1684225614563,-25.4295963,-49.2712724
207601299,13,99,112532,87.9749760068247,-25.4295963,-49.2712724
207601299,4,0,295529,0,-25.4295963,-49.2712724
