"registry_code","discription","latitude","longitude","distance"
441000899,"Republic of Korea, Ulsan",35.5391697,129.3119136,5512.67854581209
441400099,"Kuwait",29.2733964,47.4979476,22437.8474183622
445800299,"Malaysia, Penang",5.3539794,100.4573464,5318.98214933823
460800299,"Philippines, Manila",14.5906216,120.9799696,1882.53841883547
460800399,"Philippines, Rizal",14.5917332,121.2784359,32315.532103507
476400399,"Thailand, Bangkok",13.7244327,100.6033853,12426.0170724746
476400199,"Thailand, Chiang Mai",18.790876,98.988048,261132.42391171
476400899,"Thailand, Chonburi",13.3658434,100.9889619,592.79370874523
476400299,"Thailand, Khon Kaen",16.6022387,102.6352933,386249.514038963
476400599,"Thailand, Lampang",18.6799728,99.7332501,314521.437772304
476400799,"Thailand, Lopburi Province",15.026458,100.8089178,158119.590382438
476400499,"Thailand, Songkhla",6.8790221,100.5498542,25991.597337297
479200299,"Turkey, Antalya",36.9009641,30.6954846,1347.30946327144
479200499,"Turkey, Bursa",40.182737,29.0678352,20381.9291833739
479200799,"Turkey, Edirne",41.6759327,26.5587225,102936.133121956
479200599,"Turkey, Erzurum",39.7581897,41.4032241,159664.447400393
479200699,"Turkey, Eskisehir",39.7666813,30.5255947,117222.947255293
479200199,"Turkey, Izmir",38.4147331,27.1434119,1949.89424694493
479200399,"Turkey, Samsun",41.2889924,36.3294459,1167.85004609145
479200899,"Turkey, Trabzon",41.0058605,39.7180928,1102.93859224699
470400299,"Viet Nam, Ho Chi Minh City",10.6497452,106.7619794,39.5643710277781
504000099,"Austria",47.2000338,13.199959,157990.693250424
504000299,"Austria, Carinthia",46.7500001,13.8333333,108604.996123088
504000799,"Austria, Tyrol",47.223193,11.5261028,198291.915457102
504000899,"Austria, Vorarlberg",47.25,9.9166667,268718.766054228
511200099,"Belarus",53.4250605,27.6971358,454393.436418065
505600099,"Belgium",50.6402809,4.6667145,74468.9612744651
510000099,"Bulgaria",42.6073975,25.4856617,162205.053417452
519100099,"Croatia",45.5643442,17.0118954,176883.296778153
519600099,"Cyprus",34.9823018,33.1451285,30857.110774175
520300099,"Czech Republic",49.8167003,15.4749544,425163.893423467
520800099,"Denmark",55.670249,10.3333283,6013.21785854245
