"registry_code","discription","start","end","latitude","longitude"
435602199,"India, Kollam",2008,2012,8.8870537,76.5907058
435601999,"India, Mizoram",2008,2012,23.2146169,92.8687612
435600399,"India, Mumbai",2008,2012,18.9387711,72.8353355
435600699,"India, Poona",2008,2011,18.5203062,73.8543185
435601899,"India, Sikkim State",2008,2012,27.601029,88.4541364
435602299,"India, Tripura",2010,2012,23.7750823,91.7025091
435600899,"India, Trivandrum",2008,2012,8.5058909,76.9570481
435602099,"India, Wardha",2010,2012,20.4355888,78.6463504
436400399,"Iran (Islamic Republic of), Golestan Province",2008,2011,37.1984436,55.070672
437600099,"Israel",2008,2012,30.8760272,35.0015196
439201099,"Japan, Aichi Prefecture",2008,2012,34.9991645,137.254574
439200999,"Japan, Fukui Prefecture",2008,2012,35.9263502,136.6068127
439200199,"Japan, Hiroshima Prefecture",2008,2012,34.5666725,132.753565
439200299,"Japan, Miyagi Prefecture",2008,2010,38.3880155,140.9761025
439200399,"Japan, Nagasaki Prefecture",2008,2012,33.1154683,129.7874339
439200899,"Japan, Niigata Prefecture",2008,2012,37.6452283,138.7669125
439200499,"Japan, Osaka Prefecture",2008,2012,34.6198813,135.490357
439201199,"Japan, Tochigi Prefecture",2008,2012,36.6782167,139.8096549
439200699,"Japan, Yamagata Prefecture",2008,2012,38.4746705,140.083237
441000099,"Republic of Korea",2008,2012,36.5581914,127.9408564
441000299,"Republic of Korea, Busan",2008,2012,35.1799528,129.0752365
441000499,"Republic of Korea, Daegu",2008,2012,35.8713,128.6018
441000599,"Republic of Korea, Daejeon",2008,2012,36.3496,127.3848
441001099,"Republic of Korea, Gwangju",2008,2012,35.1595775,126.8515089
441001199,"Republic of Korea, Incheon",2008,2012,37.456,126.7052
441000999,"Republic of Korea, Jejudo",2008,2012,33.3939924,126.5626653
441000399,"Republic of Korea, Seoul",2008,2012,37.5666791,126.9782914
441000899,"Republic of Korea, Ulsan",2008,2012,35.5391697,129.3119136
441400099,"Kuwait",2008,2012,29.2733964,47.4979476
445800299,"Malaysia, Penang",2008,2010,5.3539794,100.4573464
460800299,"Philippines, Manila",2008,2012,14.5906216,120.9799696
460800399,"Philippines, Rizal",2008,2012,14.5917332,121.2784359
476400399,"Thailand, Bangkok",2008,2010,13.7244327,100.6033853
476400199,"Thailand, Chiang Mai",2008,2012,18.790876,98.988048
476400899,"Thailand, Chonburi",2008,2011,13.3658434,100.9889619
476400299,"Thailand, Khon Kaen",2008,2012,16.6022387,102.6352933
476400599,"Thailand, Lampang",2008,2012,18.6799728,99.7332501
476400799,"Thailand, Lopburi Province",2009,2012,15.026458,100.8089178
476400499,"Thailand, Songkhla",2008,2012,6.8790221,100.5498542
479200299,"Turkey, Antalya",2008,2012,36.9009641,30.6954846
479200499,"Turkey, Bursa",2008,2012,40.182737,29.0678352
479200799,"Turkey, Edirne",2008,2012,41.6759327,26.5587225
479200599,"Turkey, Erzurum",2010,2012,39.7581897,41.4032241
479200699,"Turkey, Eskisehir",2008,2012,39.7666813,30.5255947
479200199,"Turkey, Izmir",2008,2012,38.4147331,27.1434119
479200399,"Turkey, Samsun",2008,2012,41.2889924,36.3294459
479200899,"Turkey, Trabzon",2008,2012,41.0058605,39.7180928
470400299,"Viet Nam, Ho Chi Minh City",2009,2012,10.6497452,106.7619794
504000099,"Austria",2008,2012,47.2000338,13.199959
504000299,"Austria, Carinthia",2008,2012,46.7500001,13.8333333
504000799,"Austria, Tyrol",2008,2012,47.223193,11.5261028
504000899,"Austria, Vorarlberg",2008,2012,47.25,9.9166667
511200099,"Belarus",2008,2012,53.4250605,27.6971358
505600099,"Belgium",2008,2012,50.6402809,4.6667145
510000099,"Bulgaria",2008,2012,42.6073975,25.4856617
519100099,"Croatia",2008,2012,45.5643442,17.0118954
519600099,"Cyprus",2008,2012,34.9823018,33.1451285
520300099,"Czech Republic",2008,2012,49.8167003,15.4749544
520800099,"Denmark",2008,2012,55.670249,10.3333283
523300099,"Estonia",2008,2012,58.719713,24.5075441
525000199,"France, Bas-Rhin",2008,2011,48.5991783,7.5338186
525000299,"France, Calvados",2008,2012,49.0907648,-0.2413951
525000399,"France, Doubs",2008,2012,47.0669915,6.2356228
525001099,"France, Gironde",2008,2012,44.8837459,-0.6051264
525000499,"France, Haut-Rhin",2008,2012,47.8654746,7.2315433
525000899,"France, Herault",2008,2012,43.5914424,3.355283
525000599,"France, Isere",2008,2012,45.2897932,5.6343825
525001899,"France, Lille-Metropole",2008,2012,50.641835,3.0760812
525000999,"France, Limousin",2009,2012,45.6879095,1.6347606
525001499,"France, Loire-Atlantique",2008,2012,47.3481614,-1.8727461
525001699,"France, Manche",2008,2011,49.0918952,-1.2454371
525000699,"France, Somme",2008,2012,49.9689714,2.373859
525000799,"France, Tarn",2008,2012,43.7921741,2.1339648
525001199,"France, Territoire de Belfort",2008,2012,47.629231,6.8993012
525001799,"France, Vendee",2008,2012,46.6757732,-1.2914463
527600399,"Germany, Bavaria",2008,2012,48.9467562,11.4038717
527601299,"Germany, Bremen",2008,2012,53.0758196,8.8071646
527600299,"Germany, Hamburg",2008,2012,53.550341,10.000654
527600699,"Germany, Lower Saxony",2008,2012,52.8398531,9.075962
527600599,"Germany, Munich",2008,2012,48.1371079,11.5753822
527601199,"Germany, North Rhine-Westphalia",2008,2012,51.4785568,7.5533645
527600999,"Germany, Rhineland-Palatinate",2008,2012,49.7497346,7.4396553
527603099,"Germany, Saarland",2008,2012,49.4173988,6.9805789
527601699,"Germany, Schleswig-Holstein",2008,2012,54.1853998,9.8220089
535200099,"Iceland",2008,2012,64.9841821,-18.1059013
537200099,"Ireland",2008,2012,52.865196,-7.9794599
538005099,"Italy, Aosta Valley",2008,2012,45.730099,7.387426
538004199,"Italy, Barletta",2008,2011,41.3214976,16.2868696
538004399,"Italy, Bergamo",2008,2012,45.6944947,9.6698727
538001799,"Italy, Biella",2008,2012,45.5664109,8.0542758
538004499,"Italy, Caserta",2008,2010,41.0820827,14.334708
538003799,"Italy, Catania, Messina and Enna",2008,2012,37.5577,14.28551
538003899,"Italy, Como",2008,2011,45.8115623,9.0830353
538004599,"Italy, Cremona",2008,2010,45.1334796,10.0248716
538001299,"Italy, Ferrara",2008,2011,44.8372737,11.6186451
538000199,"Italy, Florence and Prato",2008,2010,43.7761013,11.2417336
538001899,"Italy, Friuli-Venezia Giulia",2008,2010,46.151042,13.055904
538000399,"Italy, Latina",2008,2012,41.4672589,12.9035737
538003999,"Italy, Lecco",2008,2010,45.8553764,9.389605
538004099,"Italy, Lombardy, South, Pavia",2008,2010,45.0368547,9.1378251
538002199,"Italy, Mantua",2008,2010,45.1566683,10.7917191
538002699,"Italy, Milan",2008,2012,45.4668,9.1905
538001099,"Italy, Modena",2008,2012,44.6458885,10.9255707
538004799,"Italy, Monza",2008,2012,45.5834418,9.2735257
538001699,"Italy, Naples",2008,2012,40.8359336,14.2487826
538003199,"Italy, Nuoro",2008,2012,40.3210601,9.3297339
538003399,"Italy, Palermo",2008,2012,38.1112268,13.3524434
538000599,"Italy, Parma",2008,2012,44.8013678,10.3280833
538004899,"Italy, Piacenza",2008,2011,45.0534751,9.6947461
538000699,"Italy, Ragusa and Caltanissetta",2008,2012,36.7865261,14.9013245
538002399,"Italy, Reggio Emilia",2008,2012,44.6978446,10.6304958
