"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
169000099,2,19,0,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,18,1,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,19,0,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,11,1,11314,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,12,2,7631,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,13,1,5353,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,10,1,13562,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,2,18,0,0,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,8,0,15344,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,4,0,15093,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,3,0,12799,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,2,0,13037,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,7,0,14956,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,6,0,14820,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,1,0,14113,"Seychelles",2009,2012,-4.6574977,55.4540146
169000099,1,5,0,15405,"Seychelles",2009,2012,-4.6574977,55.4540146
171000199,2,11,2,118452,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,8,0,132344,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,5,0,218302,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,3,0,376551,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,1,0,367614,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,2,0,362525,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,1,6,0,145987,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,18,1,0,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
171000199,2,12,3,93965,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
